title,mediaType,eps,ongoing,startYr,finishYr,sznOfRelease,studios,tags,contentWarn,watched,watching,dropped,rating,votes,duration
Hyouka,TV,22,FALSE,2012,2012,Spring,['Kyoto Animation'],"['Drama', 'Mystery', 'Shounen', 'School Club', 'School Life', 'Based on a Novel']",[],24412,3594,1734,4.273,20576,
Sekai-ichi Hatsukoi: World's Greatest First Love,TV,12,FALSE,2011,2011,Spring,['Studio Deen'],"['BL', 'Comedy', 'Drama', 'Romance', 'Shounen-ai', 'Adult Couples', 'Boss-Employee Relationship', 'Coworkers', 'Editors', 'LGBT Themes', 'Manga Industry', 'Mature Romance', 'Neighbors', 'Otaku Culture', 'Romantic Comedy', 'Work Life', 'Yaoi Hand Syndrome', 'Based on a Manga']",['Sexual Content'],15275,1126,423,4.274,10647,
Shouwa Genroku Rakugo Shinjuu OVA,OVA,2,FALSE,2015,2015,,['Studio Deen'],"['Drama', 'Josei', 'Apprenticeship', 'Historical', 'Lifestyle Change', 'Rakugo', 'Based on a Manga']",[],373,37,15,4.265,225,
Snow White with the Red Hair OVA,OVA,1,FALSE,2016,2016,Fall,['Bones'],"['Drama', 'Fantasy', 'Romance', 'Shoujo', 'Slice of Life', 'Adult Couples', 'Mature Romance', 'Medieval', 'Royalty', 'Social Gap', 'Based on a Manga']",[],5125,92,25,4.272,3062,
Sekai-ichi Hatsukoi: World's Greatest First Love OVA,OVA,2,FALSE,2011,2011,,['Studio Deen'],"['BL', 'Comedy', 'Romance', 'Shounen-ai', 'Romantic Comedy', 'School Life', 'Based on a Manga']",[],9301,274,69,4.272,5841,
Assassination Classroom 2nd Season: Kagaijugyou-hen,Web,8,FALSE,2016,2016,Winter,['Lerche'],"['Action', 'Comedy', 'Shounen', 'Assassins', 'Non-Human Protagonists', 'School Life', 'Short Episodes', 'Based on a Manga']",[],3425,185,39,4.273,1618,60
Legend of the Galactic Heroes: My Conquest is the Sea of Stars,Movie,1,FALSE,1988,1988,,"['Artland', 'MADHOUSE']","['Drama', 'Sci Fi', 'Military', 'Outer Space', 'Political', 'Space Opera', 'War', 'Based on a Novel']",[],1752,29,19,4.271,1295,
Broken Blade Movie 6: Fortress of Lamentation,Movie,1,FALSE,2011,2011,,"['Production I.G', 'XEBEC']","['Action', 'Fantasy', 'Mecha', 'Magic', 'Military', 'War']",['Violence'],7736,49,24,4.27,5188,
The Devil is a Part-Timer!,TV,13,FALSE,2013,2013,Spring,['WHITE FOX'],"['Action', 'Comedy', 'Fantasy', 'Slice of Life', 'Contemporary Fantasy', 'Coworkers', 'Demon King', 'Demons', 'Lifestyle Change', 'Non-Human Protagonists', 'Person in a Strange World', 'Restaurants', 'Reverse Isekai', 'Urban Fantasy', 'Work Life', 'Based on a Light Novel']",[],54269,3070,1382,4.27,40325,
"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",TV,12,FALSE,2020,2020,Winter,['SILVER LINK'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci Fi', 'Guilds', 'MMORPG', 'Overpowered Main Characters', 'PVE', 'PVP', 'RPG', 'Virtual Reality', 'Based on a Light Novel']",[],6288,2729,358,4.27,5582,
Asobi Asobase,TV,12,FALSE,2018,2018,Summer,['Lerche'],"['Comedy', 'All-Girls School', 'Gag', 'School Life', 'Slapstick', 'Based on a Manga']",[],4451,1014,459,4.271,3876,
Slam Dunk,TV,101,FALSE,1993,1996,,['Toei Animation'],"['Action', 'Comedy', 'Drama', 'Shounen', 'Sports', 'Basketball', 'Delinquents', 'School Club', 'School Life', 'Tournaments', 'Weak to Strong', 'Based on a Manga']","['Bullying', 'Mature Themes', 'Physical Abuse']",8718,1004,805,4.269,NULL,
My Teen Romantic Comedy SNAFU TOO! OVA,OVA,1,FALSE,2016,2016,,['feel.'],"['Comedy', 'Romance', 'Seinen', 'Slice of Life', 'Based on a Light Novel']",[],5192,94,32,4.267,3269,
Naruto Shippuden,TV,500,FALSE,2007,2017,Winter,['Studio Pierrot'],"['Action', 'Drama', 'Fantasy', 'Shounen', 'Hand to Hand Combat', 'Ninja', 'Revenge', 'Based on a Manga']",[],38289,69004,12813,4.269,78754,
